
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Overriding config with config_small2048_filtered.py:
# Config for small-2048 with filtered dataset
model_size = "small-2048"
model_tag = "small2048_filtered_v1"

Autodetected device type: cuda
/home/josch/git/nanochat-tct/.venv/lib/python3.12/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
2025-11-11 09:12:47,394 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
Model: small-2048
Vocab size: 8192
Context size: 2048
Batch size: 16
Gradient accumulation: 8
Effective batch size: 128
Learning rate: 0.0003
Number of parameters: 20,447,232

Initializing dataloaders...
Found 117,133 workflow files in /home/josch/Desktop/data/workflows/json
Loading tokenized workflows from cache: /home/josch/Desktop/data/workflows/json/.cache/tokenized_split90_117133files.pt
✅ Loaded 117133 tokenized workflows

Filtering sequences (max_len=8192, max_ascii_ratio=0.95)...
  Filtering results:
    Total sequences: 117,133
    Kept: 12,911 (11.0%)
    Removed: 104,222 (89.0%)
      - Too long (>8192): 48
      - Too ASCII (>95%): 100,911
      - Both: 3,263


TRAIN split: 11,619 workflows
Average workflow length: 523 tokens
Workflows truncated (>2048): 316 (2.7%)
Workflows padded (<2048): 11,303 (97.3%)

First batch shape: x=torch.Size([16, 2048]), y=torch.Size([16, 2048])
First batch dtype: x=torch.int32, y=torch.int64

================================================================================
STARTING TRAINING
================================================================================

Found 117,133 workflow files in /home/josch/Desktop/data/workflows/json
Loading tokenized workflows from cache: /home/josch/Desktop/data/workflows/json/.cache/tokenized_split90_117133files.pt
✅ Loaded 117133 tokenized workflows

Filtering sequences (max_len=8192, max_ascii_ratio=0.95)...
  Filtering results:
    Total sequences: 117,133
    Kept: 12,911 (11.0%)
    Removed: 104,222 (89.0%)
      - Too long (>8192): 48
      - Too ASCII (>95%): 100,911
      - Both: 3,263


VAL split: 1,292 workflows
Average workflow length: 540 tokens
Workflows truncated (>2048): 50 (3.9%)
Workflows padded (<2048): 1,242 (96.1%)

Step 00000 | Val loss: 9.0109 | Val ppl: 8192.00
  ✨ New best validation loss!
step 00000/100000 (0.0%) | loss: 9.0109 | ppl: 8192.0 | lr: 6.00e-08 | dt: 2830ms | tok/s: 92,616 | time: 0.0m
step 00010/100000 (0.0%) | loss: 9.0106 | ppl: 8189.5 | lr: 6.60e-07 | dt: 2281ms | tok/s: 114,907 | time: 0.0m
step 00020/100000 (0.0%) | loss: 9.0095 | ppl: 8180.1 | lr: 1.26e-06 | dt: 2269ms | tok/s: 115,536 | time: 0.4m
step 00030/100000 (0.0%) | loss: 9.0068 | ppl: 8158.6 | lr: 1.86e-06 | dt: 1461ms | tok/s: 179,395 | time: 0.7m
step 00040/100000 (0.0%) | loss: 9.0010 | ppl: 8110.8 | lr: 2.46e-06 | dt: 1454ms | tok/s: 180,315 | time: 1.0m
step 00050/100000 (0.1%) | loss: 8.9905 | ppl: 8026.4 | lr: 3.06e-06 | dt: 1454ms | tok/s: 180,313 | time: 1.2m
step 00060/100000 (0.1%) | loss: 8.9732 | ppl: 7888.7 | lr: 3.66e-06 | dt: 1454ms | tok/s: 180,324 | time: 1.5m
step 00070/100000 (0.1%) | loss: 8.9486 | ppl: 7697.3 | lr: 4.26e-06 | dt: 1454ms | tok/s: 180,258 | time: 1.7m
step 00080/100000 (0.1%) | loss: 8.9175 | ppl: 7461.1 | lr: 4.86e-06 | dt: 1454ms | tok/s: 180,332 | time: 2.0m
step 00090/100000 (0.1%) | loss: 8.8812 | ppl: 7195.1 | lr: 5.46e-06 | dt: 1573ms | tok/s: 166,677 | time: 2.2m
step 00100/100000 (0.1%) | loss: 8.8402 | ppl: 6906.0 | lr: 6.06e-06 | dt: 1454ms | tok/s: 180,283 | time: 2.4m
step 00110/100000 (0.1%) | loss: 8.7949 | ppl: 6600.3 | lr: 6.66e-06 | dt: 1454ms | tok/s: 180,326 | time: 2.7m
step 00120/100000 (0.1%) | loss: 8.7454 | ppl: 6281.8 | lr: 7.26e-06 | dt: 1454ms | tok/s: 180,338 | time: 2.9m
step 00130/100000 (0.1%) | loss: 8.6923 | ppl: 5956.6 | lr: 7.86e-06 | dt: 1454ms | tok/s: 180,317 | time: 3.2m
step 00140/100000 (0.1%) | loss: 8.6358 | ppl: 5629.6 | lr: 8.46e-06 | dt: 1454ms | tok/s: 180,344 | time: 3.4m
step 00150/100000 (0.1%) | loss: 8.5749 | ppl: 5297.3 | lr: 9.06e-06 | dt: 1454ms | tok/s: 180,308 | time: 3.6m
step 00160/100000 (0.2%) | loss: 8.5101 | ppl: 4964.6 | lr: 9.66e-06 | dt: 1454ms | tok/s: 180,321 | time: 3.9m
step 00170/100000 (0.2%) | loss: 8.4410 | ppl: 4633.0 | lr: 1.03e-05 | dt: 1454ms | tok/s: 180,333 | time: 4.1m
step 00180/100000 (0.2%) | loss: 8.3691 | ppl: 4311.7 | lr: 1.09e-05 | dt: 1454ms | tok/s: 180,341 | time: 4.4m
step 00190/100000 (0.2%) | loss: 8.2931 | ppl: 3996.0 | lr: 1.15e-05 | dt: 1454ms | tok/s: 180,302 | time: 4.6m
step 00200/100000 (0.2%) | loss: 8.2125 | ppl: 3686.6 | lr: 1.21e-05 | dt: 1454ms | tok/s: 180,350 | time: 4.9m
step 00210/100000 (0.2%) | loss: 8.1264 | ppl: 3382.8 | lr: 1.27e-05 | dt: 1454ms | tok/s: 180,277 | time: 5.1m
step 00220/100000 (0.2%) | loss: 8.0374 | ppl: 3094.6 | lr: 1.33e-05 | dt: 1454ms | tok/s: 180,315 | time: 5.3m
